property,plan,roomType,beds,baths,sqFt,minPrice,maxPrice,availability,url,imagePath,pros,cons,dataWarning
The Block (various locations),23rd: 2 Bed - 2 Bath A Premium Shared Bedroom,2 Bed / 2 Bath,2,2.0,,564,564,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/7e9be082-58a7-43b6-b3fd-af4f4ee26d82/671-23rd-2-Bed-2-Bath-A-Premium-Shared-01.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bedroom (limited privacy),
The Block (various locations),23rd: 2 Bed - 2 Bath B Premium,2 Bed / 2 Bath,2,2.0,926,1179,1199,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/4d17b24d-2ebb-466f-b237-e67290c163a6/671-23rd-2-Bed-2-Bath-B-Premium-ORIGINAL-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 2 Bed - 2 Bath C Premium Private Bedroom,2 Bed / 2 Bath,2,2.0,994,1074,1134,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/7a8e5156-49a8-4436-afbd-ed4f52efe846/671-23rd-2-Bed-2-Bath-C-Premium-Private-ORIGINAL-01_1.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished, Direct lease available",,
The Block (various locations),23rd: 2 Bed - 2 Bath D Premium Private Bedroom,2 Bed / 2 Bath,2,2.0,,1164,1164,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/43dc28ba-6c66-491e-9e75-f3f8859e0ded/671-23rd-2-Bed-2-Bath-D-Premium-Private-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 2 Bed - 2 Bath D Premium Shared Bedroom,2 Bed / 2 Bath,2,2.0,,564,564,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/63ee7804-7c75-42c2-9164-3fcdffcc05e1/671-23rd-2-Bed-2-Bath-D-Premium-Shared-Furnished.png?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bedroom (limited privacy),
The Block (various locations),23rd: 2 Bed - 2 Bath E Premium Private Bedroom,2 Bed / 2 Bath,2,2.0,1112,1204,1214,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/62949db8-58c4-4ed2-b1a4-acbf48bea016/671-23rd-2-Bed-2-Bath-E-Premium-Private-ORIGINAL-01.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 3 Bed - 2 Bath Premium,3 Bed / 2 Bath,3,2.0,1176,964,1044,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/e56106c8-21cc-4400-aff9-8ed1ab283886/671-23rd-3-Bed-2-Bath-Premium-ORIGINAL-01?width=660&height=445&ext=.png,"Fully furnished, Budget-friendly rent (under $1,000/mo), Direct lease available",Shared bathroom (3 residents sharing 2 baths),
The Block (various locations),23rd: 3 Bed - 3 Bath A,3 Bed / 3 Bath,3,3.0,1167,1129,1139,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/f1c41b51-ff39-4f3d-b175-657fcdf5547c/671-23rd-3-Bed-3-Bath-A-ORIGINAL-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 3 Bed - 3 Bath B Premium,3 Bed / 3 Bath,3,3.0,,1059,1139,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/2c0aab29-5456-479f-b755-4d7b8d943cbc/671-23rd-3-Bed-3-Bath-B-Premium-ORIGINAL-01.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished, Direct lease available",,
The Block (various locations),23rd: 3 Bed - 3 Bath C Private Bedroom,3 Bed / 3 Bath,3,3.0,1209,1029,1039,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/6ec4e6af-e416-4a3c-bd92-7c955d192cdd/671-23rd-3-Bed-3-Bath-C-Private-ORIGINAL-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 3 Bed - 3 Bath D,3 Bed / 3 Bath,3,3.0,1284,869,879,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/cf6dc077-a9a5-4b04-8c6e-451bc13e90c4/671-23rd-3-Bed-3-Bath-D-ORIGINAL-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished, Budget-friendly rent (under $1,000/mo)",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 4 Bed - 2 Bath Premium,4 Bed / 2 Bath,4,2.0,1576,1009,1009,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/0789e671-837f-4edc-be91-83e00f8051d9/671-23rd-4-Bed-2-Bath-Premium-01.png?width=660&height=446&ext=.png,Fully furnished,"Shared bathroom (4 residents sharing 2 baths), Waitlist status (limited immediate spots)",
The Block (various locations),23rd: 4 Bed - 4 Bath,4 Bed / 4 Bath,4,4.0,1400,1169,1179,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/7445b275-801e-482f-ae80-33d274cc12cf/671-23rd-4-bed-4-bath-furnished-01.png?width=661&height=446&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),23rd: 4 Bed - 4 Bath Premium Private Bedroom,4 Bed / 4 Bath,4,4.0,1400,1204,1284,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/7e0063e0-4e3c-4576-8d5b-0453399cb25f/671-23rd-4-Bed-4-Bath-Premium-Private-ORIGINAL-01.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished, Direct lease available",,
The Block (various locations),25th E: 2 Bed - 1 Bath A Premium w/Loft,2 Bed / 1 Bath,2,1.0,1064,1469,1479,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/5a7922d1-816b-4ef9-a0bf-770ef0ebce3c/671-25th-East-2-Bed-1-Bath-A-Premium-with-Loft-ORIGINAL-01?width=660&height=445&ext=.png,"Fully furnished, Direct lease available",Shared bathroom (2 residents sharing 1 baths),
The Block (various locations),25th E: 2 Bed - 1 Bath B Premium w/Loft,2 Bed / 1 Bath,2,1.0,1118,1449,1459,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/a79afbeb-d7d7-4fc0-bea0-624d84299de4/671-25th-East-2-Bed-1-Bath-B-Premium-with-Loft-ORIGINAL-01?width=660&height=445&ext=.png,"Fully furnished, Direct lease available",Shared bathroom (2 residents sharing 1 baths),
The Block (various locations),25th E: 2 Bed - 2 Bath A,2 Bed / 2 Bath,2,2.0,,1074,1074,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/3b178fdf-9505-4444-8890-4a459864ac7d/671-25th-East-2-Bed-2-Bath-A-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),25th E: 2 Bed - 2 Bath B Premium Private Bedroom,2 Bed / 2 Bath,2,2.0,1056,1029,1089,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/2a9bd6cf-d0d3-4d9f-ab41-4f334fc63f20/671-25th-East-2-Bed-2-Bath-B-Premium-ORIGINAL-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished, Direct lease available",,
The Block (various locations),25th E: 2 Bed - 2 Bath C Premium Private Bedroom,2 Bed / 2 Bath,2,2.0,,1154,1174,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,,"Private bathroom for every resident, Fully furnished",Waitlist status (limited immediate spots),
The Block (various locations),25th E: 2 Bed - 2 Bath C Premium Shared Bedroom,2 Bed / 2 Bath,2,2.0,1100,469,479,Waitlist,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/33e527a0-4245-4451-822e-1b8ce3f5332f/671-25th-East-2-Bed-2-Bath-C-Premium-Private-ORIGINAL-01?width=660&height=445&ext=.png,"Private bathroom for every resident, Fully furnished, Budget-friendly rent (under $1,000/mo)","Shared bedroom (limited privacy), Waitlist status (limited immediate spots)",
The Block (various locations),25th E: 2 Bed - 2 Bath D Premium,2 Bed / 2 Bath,2,2.0,,1199,1219,Limited Availability,https://www.americancampus.com/api/lightning/floorplans/671,https://www.americancampus.com/getmedia/fd6424c2-1c84-4015-8207-641b41b20eac/671-25th-East-2-Bed-2-Bath-D-Premium-Private-01.png?width=660&height=446&ext=.png,"Private bathroom for every resident, Fully furnished, Direct lease available",,
